Numero de iteraciones,Numero de capas,Neuronas por capa,Tasa de aprendizaje,Grado de Confianza,Minimo del error promedio en entrenamiento,Maximo del error promedio en entrenamiento,Falsos positivos entrenamiento,Falsos negativos en el entrenamiento,Minimo del error promedio en pruebas,Maximo del error promedio en pruebas,Falsos negativos en pruebas,Falsos positivos en pruebas
2000,1,[1],0.1,0.9,0.0014972274265537843,0.17532090528230918,0,1,9.243968650252708e-05,0.1261677261011187,0,0
2000,1,[1],0.1,0.8,0.0014972274265537843,0.17532090528230918,0,1,9.243968650252708e-05,0.1261677261011187,0,0
2000,1,[1],0.1,0.7,0.0014972274265537843,0.17532090528230918,0,1,9.243968650252708e-05,0.1261677261011187,0,0
2000,1,[1],0.1,0.6,0.0014972274265537843,0.17532090528230918,0,0,9.243968650252708e-05,0.1261677261011187,0,0
2000,1,[1],0.1,0.5,0.0014972274265537843,0.17532090528230918,0,0,9.243968650252708e-05,0.1261677261011187,0,0
2000,1,[1],0.01,0.9,0.0034262054674638167,0.23592573902603242,0,4,0.0009591484500859455,0.2193867688034511,0,0
2000,1,[1],0.01,0.8,0.0034262054674638167,0.23592573902603242,0,1,0.0009591484500859455,0.2193867688034511,0,0
2000,1,[1],0.01,0.7,0.0034262054674638167,0.23592573902603242,0,1,0.0009591484500859455,0.2193867688034511,0,0
2000,1,[1],0.01,0.6,0.0034262054674638167,0.23592573902603242,0,1,0.0009591484500859455,0.2193867688034511,0,0
2000,1,[1],0.01,0.5,0.0034262054674638167,0.23592573902603242,0,0,0.0009591484500859455,0.2193867688034511,0,0
2000,1,[1],0.001,0.9,0.018942215190936477,0.2484778329847498,0,37,0.012890446385037136,0.24654730862282154,8,0
2000,1,[1],0.001,0.8,0.018942215190936477,0.2484778329847498,0,14,0.012890446385037136,0.24654730862282154,3,0
2000,1,[1],0.001,0.7,0.018942215190936477,0.2484778329847498,0,1,0.012890446385037136,0.24654730862282154,0,0
2000,1,[1],0.001,0.6,0.018942215190936477,0.2484778329847498,0,1,0.012890446385037136,0.24654730862282154,0,0
2000,1,[1],0.001,0.5,0.018942215190936477,0.2484778329847498,0,0,0.012890446385037136,0.24654730862282154,0,0
4000,1,[1],0.1,0.9,0.001199087368121008,0.17532090528230918,0,1,5.326304324243213e-05,0.1261677261011187,0,0
4000,1,[1],0.1,0.8,0.001199087368121008,0.17532090528230918,0,1,5.326304324243213e-05,0.1261677261011187,0,0
4000,1,[1],0.1,0.7,0.001199087368121008,0.17532090528230918,0,1,5.326304324243213e-05,0.1261677261011187,0,0
4000,1,[1],0.1,0.6,0.001199087368121008,0.17532090528230918,0,0,5.326304324243213e-05,0.1261677261011187,0,0
4000,1,[1],0.1,0.5,0.001199087368121008,0.17532090528230918,0,0,5.326304324243213e-05,0.1261677261011187,0,0
4000,1,[1],0.01,0.9,0.0024887035449464743,0.23592573902603242,0,1,0.0004440988729957792,0.2193867688034511,0,0
4000,1,[1],0.01,0.8,0.0024887035449464743,0.23592573902603242,0,1,0.0004440988729957792,0.2193867688034511,0,0
4000,1,[1],0.01,0.7,0.0024887035449464743,0.23592573902603242,0,1,0.0004440988729957792,0.2193867688034511,0,0
4000,1,[1],0.01,0.6,0.0024887035449464743,0.23592573902603242,0,1,0.0004440988729957792,0.2193867688034511,0,0
4000,1,[1],0.01,0.5,0.0024887035449464743,0.23592573902603242,0,0,0.0004440988729957792,0.2193867688034511,0,0
4000,1,[1],0.001,0.9,0.010395161808057891,0.2484778329847498,0,27,0.0059197170437503156,0.24654730862282154,4,0
4000,1,[1],0.001,0.8,0.010395161808057891,0.2484778329847498,0,5,0.0059197170437503156,0.24654730862282154,0,0
4000,1,[1],0.001,0.7,0.010395161808057891,0.2484778329847498,0,1,0.0059197170437503156,0.24654730862282154,0,0
4000,1,[1],0.001,0.6,0.010395161808057891,0.2484778329847498,0,1,0.0059197170437503156,0.24654730862282154,0,0
4000,1,[1],0.001,0.5,0.010395161808057891,0.2484778329847498,0,0,0.0059197170437503156,0.24654730862282154,0,0
6000,1,[1],0.1,0.9,0.0010196569148183095,0.17532090528230918,0,1,3.7103297530141285e-05,0.1261677261011187,0,0
6000,1,[1],0.1,0.8,0.0010196569148183095,0.17532090528230918,0,1,3.7103297530141285e-05,0.1261677261011187,0,0
6000,1,[1],0.1,0.7,0.0010196569148183095,0.17532090528230918,0,1,3.7103297530141285e-05,0.1261677261011187,0,0
6000,1,[1],0.1,0.6,0.0010196569148183095,0.17532090528230918,0,0,3.7103297530141285e-05,0.1261677261011187,0,0
