Numero de iteraciones,Numero de capas,Neuronas por capa,Tasa de aprendizaje,Grado de Confianza,Minimo del error promedio en entrenamiento,Maximo del error promedio en entrenamiento,Falsos positivos entrenamiento,Falsos negativos en el entrenamiento,Minimo del error promedio en pruebas,Maximo del error promedio en pruebas,Falsos negativos en pruebas,Falsos positivos en pruebas
6000,1,[1],0.01,0.5,0.1664881792462584,0.24722892822406353,10,22,0.19848729779545876,0.24394468148007678,5,4
6000,1,[1],0.001,0.9,0.17537367947313584,0.2497003257423805,0,40,0.20268596358868107,0.2493267517588774,10,0
6000,1,[1],0.001,0.8,0.17537367947313584,0.2497003257423805,0,40,0.20268596358868107,0.2493267517588774,10,0
6000,1,[1],0.001,0.7,0.17537367947313584,0.2497003257423805,0,40,0.20268596358868107,0.2493267517588774,10,0
6000,1,[1],0.001,0.6,0.17537367947313584,0.2497003257423805,2,36,0.20268596358868107,0.2493267517588774,10,2
6000,1,[1],0.001,0.5,0.17537367947313584,0.2497003257423805,5,31,0.20268596358868107,0.2493267517588774,10,4
2000,2,[2-1],0.1,0.9,0.2259813085907227,0.2503947709246958,0,40,0.2233210404133227,0.289008711078994,10,0
2000,2,[2-1],0.1,0.8,0.2259813085907227,0.2503947709246958,0,40,0.2233210404133227,0.289008711078994,10,0
2000,2,[2-1],0.1,0.7,0.2259813085907227,0.2503947709246958,0,40,0.2233210404133227,0.289008711078994,10,0
2000,2,[2-1],0.1,0.6,0.2259813085907227,0.2503947709246958,0,40,0.2233210404133227,0.289008711078994,10,0
2000,2,[2-1],0.1,0.5,0.2259813085907227,0.2503947709246958,0,40,0.2233210404133227,0.289008711078994,10,0
2000,2,[2-1],0.01,0.9,0.22539585895135644,0.25024390621728654,0,40,0.22337647094367483,0.2660015931093001,10,0
2000,2,[2-1],0.01,0.8,0.22539585895135644,0.25024390621728654,0,40,0.22337647094367483,0.2660015931093001,10,0
2000,2,[2-1],0.01,0.7,0.22539585895135644,0.25024390621728654,0,40,0.22337647094367483,0.2660015931093001,10,0
2000,2,[2-1],0.01,0.6,0.22539585895135644,0.25024390621728654,0,40,0.22337647094367483,0.2660015931093001,10,0
2000,2,[2-1],0.01,0.5,0.22539585895135644,0.25024390621728654,0,40,0.22337647094367483,0.2660015931093001,10,0
2000,2,[2-1],0.001,0.9,0.22533561729913973,0.24980842960007868,0,40,0.2233829938184905,0.24958699878311225,10,0
2000,2,[2-1],0.001,0.8,0.22533561729913973,0.24980842960007868,0,40,0.2233829938184905,0.24958699878311225,10,0
2000,2,[2-1],0.001,0.7,0.22533561729913973,0.24980842960007868,0,40,0.2233829938184905,0.24958699878311225,10,0
2000,2,[2-1],0.001,0.6,0.22533561729913973,0.24980842960007868,0,40,0.2233829938184905,0.24958699878311225,10,0
2000,2,[2-1],0.001,0.5,0.22533561729913973,0.24980842960007868,0,40,0.2233829938184905,0.24958699878311225,10,0
