Numero de iteraciones,Numero de capas,Neuronas por capa,Tasa de aprendizaje,Grado de Confianza,Minimo del error promedio en entrenamiento,Maximo del error promedio en entrenamiento,Falsos positivos entrenamiento,Falsos negativos en el entrenamiento,Minimo del error promedio en pruebas,Maximo del error promedio en pruebas,Falsos negativos en pruebas,Falsos positivos en pruebas
5000,2,[2-1],0.01,0.5,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
5000,2,[2-1],0.001,0.9,0.22667322053742678,0.2500188556469054,0,39,0.23559278512975637,0.250426416306514,11,0
5000,2,[2-1],0.001,0.8,0.22667322053742678,0.2500188556469054,0,39,0.23559278512975637,0.250426416306514,11,0
5000,2,[2-1],0.001,0.7,0.22667322053742678,0.2500188556469054,0,39,0.23559278512975637,0.250426416306514,11,0
5000,2,[2-1],0.001,0.6,0.22667322053742678,0.2500188556469054,0,39,0.23559278512975637,0.250426416306514,11,0
5000,2,[2-1],0.001,0.5,0.22667322053742678,0.2500188556469054,0,39,0.23559278512975637,0.250426416306514,11,0
10000,2,[2-1],0.1,0.9,0.22003478064760695,0.2521503961973476,0,39,0.2355926487437659,0.26179732727925115,11,0
10000,2,[2-1],0.1,0.8,0.22003478064760695,0.2521503961973476,0,25,0.2355926487437659,0.26179732727925115,8,1
10000,2,[2-1],0.1,0.7,0.22003478064760695,0.2521503961973476,3,13,0.2355926487437659,0.26179732727925115,7,2
10000,2,[2-1],0.1,0.6,0.22003478064760695,0.2521503961973476,7,12,0.2355926487437659,0.26179732727925115,7,5
10000,2,[2-1],0.1,0.5,0.22003478064760695,0.2521503961973476,81,0,0.2355926487437659,0.26179732727925115,0,19
10000,2,[2-1],0.01,0.9,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
10000,2,[2-1],0.01,0.8,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
10000,2,[2-1],0.01,0.7,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
10000,2,[2-1],0.01,0.6,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
10000,2,[2-1],0.01,0.5,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
10000,2,[2-1],0.001,0.9,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
10000,2,[2-1],0.001,0.8,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
10000,2,[2-1],0.001,0.7,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
10000,2,[2-1],0.001,0.6,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
10000,2,[2-1],0.001,0.5,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
15000,2,[2-1],0.1,0.9,0.2173586702536767,0.2521503961973476,0,39,0.2355926487437659,0.26179732727925115,11,0
15000,2,[2-1],0.1,0.8,0.2173586702536767,0.2521503961973476,1,18,0.2355926487437659,0.26179732727925115,8,1
15000,2,[2-1],0.1,0.7,0.2173586702536767,0.2521503961973476,3,13,0.2355926487437659,0.26179732727925115,7,2
15000,2,[2-1],0.1,0.6,0.2173586702536767,0.2521503961973476,7,12,0.2355926487437659,0.26179732727925115,7,3
15000,2,[2-1],0.1,0.5,0.2173586702536767,0.2521503961973476,81,0,0.2355926487437659,0.26179732727925115,0,19
15000,2,[2-1],0.01,0.9,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.2527920521607471,11,0
15000,2,[2-1],0.01,0.8,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.2527920521607471,11,0
15000,2,[2-1],0.01,0.7,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.2527920521607471,11,0
15000,2,[2-1],0.01,0.6,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.2527920521607471,11,0
15000,2,[2-1],0.01,0.5,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.2527920521607471,11,0
15000,2,[2-1],0.001,0.9,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
15000,2,[2-1],0.001,0.8,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
15000,2,[2-1],0.001,0.7,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
15000,2,[2-1],0.001,0.6,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
15000,2,[2-1],0.001,0.5,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
2000,2,[3-1],0.1,0.9,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
2000,2,[3-1],0.1,0.8,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
2000,2,[3-1],0.1,0.7,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
2000,2,[3-1],0.1,0.6,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
2000,2,[3-1],0.1,0.5,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
2000,2,[3-1],0.01,0.9,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
2000,2,[3-1],0.01,0.8,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
2000,2,[3-1],0.01,0.7,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
2000,2,[3-1],0.01,0.6,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
2000,2,[3-1],0.01,0.5,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
2000,2,[3-1],0.001,0.9,0.2281047379774654,0.24971292314891938,0,40,0.22729663864457095,0.24938153719843778,10,0
2000,2,[3-1],0.001,0.8,0.2281047379774654,0.24971292314891938,0,40,0.22729663864457095,0.24938153719843778,10,0
2000,2,[3-1],0.001,0.7,0.2281047379774654,0.24971292314891938,0,40,0.22729663864457095,0.24938153719843778,10,0
2000,2,[3-1],0.001,0.6,0.2281047379774654,0.24971292314891938,0,40,0.22729663864457095,0.24938153719843778,10,0
2000,2,[3-1],0.001,0.5,0.2281047379774654,0.24971292314891938,0,40,0.22729663864457095,0.24938153719843778,10,0
4000,2,[3-1],0.1,0.9,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
4000,2,[3-1],0.1,0.8,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
4000,2,[3-1],0.1,0.7,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
4000,2,[3-1],0.1,0.6,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
4000,2,[3-1],0.1,0.5,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
4000,2,[3-1],0.01,0.9,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
4000,2,[3-1],0.01,0.8,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
4000,2,[3-1],0.01,0.7,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
4000,2,[3-1],0.01,0.6,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
4000,2,[3-1],0.01,0.5,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
4000,2,[3-1],0.001,0.9,0.2281047379774654,0.25003455477743297,0,40,0.22729663864457095,0.24983179923399632,10,0
4000,2,[3-1],0.001,0.8,0.2281047379774654,0.25003455477743297,0,40,0.22729663864457095,0.24983179923399632,10,0
4000,2,[3-1],0.001,0.7,0.2281047379774654,0.25003455477743297,0,40,0.22729663864457095,0.24983179923399632,10,0
